dataset,method,graph,n,n_errors,auroc_signed_k1,auroc_abs_k1,rise_share_correct_k1,rise_share_error_k1,auroc_signed_k5,auroc_abs_k5,rise_share_correct_k5,rise_share_error_k5,auroc_signed_k10,auroc_abs_k10,rise_share_correct_k10,rise_share_error_k10,nested_auroc_conf,nested_auroc_conf_plus_absdrop,nested_delta,nested_delta_ci_low,nested_delta_ci_high
setfit_ag_news,graphsvx,constituency,7600,496,0.755200812581735,0.8280480896723337,0.0,0.0,0.8025545864665068,0.8431689155132954,0.00014076576576576576,0.0,0.8212161253995931,0.8368462338346412,0.00028153153153153153,0.004032258064516129,,,,,
setfit_ag_news,graphsvx,skipgrams,7600,478,0.8039503383352192,0.8533634950457009,0.0,0.0,0.8427538747871819,0.8533360299102668,0.0,0.0,0.836305442855481,0.8430374853568234,0.0,0.0,,,,,
setfit_ag_news,graphsvx,syntactic,7600,484,0.8156287890401795,0.8433313183188623,0.0001405283867341203,0.002066115702479339,0.8063838213500946,0.8085268792477898,0.0,0.0,0.7513370521093194,0.752021982820695,0.0,0.0,,,,,
setfit_ag_news,graphsvx,window,7600,478,0.8264251908459731,0.8546940119542369,0.0,0.0,0.8441872023631178,0.8552099746322022,0.0,0.0,0.8433285864179472,0.8468162180009141,0.0,0.0,,,,,
setfit_ag_news,subgraphx,constituency,7600,496,0.6508513774611304,0.7989095761588202,0.00028153153153153153,0.0,0.7435443571091251,0.8480440653607236,0.00014076576576576576,0.004032258064516129,0.7486594615028336,0.8507983632574105,0.00014076576576576576,0.004032258064516129,,,,,
setfit_ag_news,subgraphx,skipgrams,7600,478,0.7958397516564267,0.8464272999333787,0.0,0.0,0.8278112255149052,0.8500271420161936,0.0,0.0,0.811164122249521,0.8368142087867284,0.0,0.0,,,,,
setfit_ag_news,subgraphx,syntactic,7600,484,0.7946736547600797,0.8304850203708092,0.0001405283867341203,0.004132231404958678,0.7927755053214964,0.8162219698131088,0.0002810567734682406,0.0,0.769556818762514,0.7885917371631384,0.0002810567734682406,0.0,,,,,
setfit_ag_news,subgraphx,window,7600,478,0.8125977435702209,0.8535444418203245,0.0,0.0,0.8440766074594721,0.8577204642577247,0.0,0.0,0.8358373605740479,0.8510371833872061,0.0,0.0,,,,,
setfit_ag_news,token_shap_llm,tokens,7600,471,0.5039746747756465,0.8512414083321644,0.01262449151353626,0.09978768577494693,0.5092007794484357,0.8475696141384776,0.03198204516762519,0.19957537154989385,0.4953211353167395,0.8363582675230711,0.04194136625052602,0.24416135881104034,0.8870270320174855,0.8868593606628707,-0.00016767135461470684,-0.001066688912069172,0.0006511173277989195
stanfordnlp_sst2,graphsvx,constituency,872,78,0.7575243815797973,0.752284763934638,0.0,0.0,0.808677258929148,0.824920880966221,0.0,0.0,0.7795969773299748,0.8015888393722147,0.0,0.0,,,,,
stanfordnlp_sst2,graphsvx,skipgrams,872,78,0.7455596460634244,0.8204482335464703,0.0012594458438287153,0.0,0.7734450687851193,0.8053671769037007,0.0012594458438287153,0.0,0.7624814312471743,0.7991183879093199,0.0012594458438287153,0.0,,,,,
stanfordnlp_sst2,graphsvx,syntactic,872,84,0.681592941745226,0.7010363790186126,0.0,0.0,0.6667119893642736,0.6705946337926033,0.0,0.0,0.6656242446217066,0.6675580130529368,0.0,0.0,,,,,
stanfordnlp_sst2,graphsvx,window,872,76,0.7440905183813806,0.810152737371066,0.0,0.0,0.7582319492197831,0.7969617825971965,0.0,0.0,0.7590253901084368,0.8002016662258662,0.0,0.0,,,,,
stanfordnlp_sst2,subgraphx,constituency,872,78,0.5470031647613511,0.575921978944649,0.0,0.0,0.6493815797971969,0.8181150293870696,0.0,0.0,0.6598204482335465,0.8179454886004003,0.0,0.0,,,,,
stanfordnlp_sst2,subgraphx,skipgrams,872,78,0.6855583543240974,0.8411645030032939,0.0,0.0,0.6816104760059419,0.8193744752308985,0.0012594458438287153,0.0,0.6757249886972808,0.8111961506168056,0.0012594458438287153,0.0,,,,,
stanfordnlp_sst2,subgraphx,syntactic,872,84,0.6737823301909598,0.7280487067923617,0.0025380710659898475,0.011904761904761904,0.5811729514140683,0.6500181290790428,0.0038071065989847717,0.05952380952380952,0.5785140198211265,0.6436578438481992,0.0038071065989847717,0.05952380952380952,,,,,
stanfordnlp_sst2,subgraphx,window,872,76,0.7064764612536367,0.8224180111081725,0.0,0.0,0.6868222692409416,0.8110949484263422,0.002512562814070352,0.0,0.6870206294631049,0.8074914043903729,0.002512562814070352,0.0,,,,,
stanfordnlp_sst2,token_shap_llm,tokens,872,73,0.6022253844703139,0.8281070516227476,0.03504380475594493,0.136986301369863,0.5238911653265211,0.7713751778764552,0.04881101376720901,0.2602739726027397,0.5111354947108543,0.763968659454455,0.056320400500625784,0.2876712328767123,0.8395082894714283,0.839799749687109,0.00029146021568071667,-0.011000851511316282,0.013616512735643006
