dataset,method,graph,target,feature,n_valid,mean_when_correct,mean_when_error,auroc_error_oriented
setfit_ag_news,graphsvx,constituency,bert_correct,jaccard_k20,7600,0.09825939192218608,0.09362190231830471,0.5196276742910971
setfit_ag_news,graphsvx,constituency,bert_correct,jaccard_top5,7600,0.07733558659354704,0.07905334816162843,0.4961785524214216
setfit_ag_news,graphsvx,constituency,bert_correct,spearman,7600,0.03207202775085189,0.026313059006245844,0.5094704533589218
setfit_ag_news,graphsvx,constituency,bert_correct,top1_match,7600,0.027914153457707952,0.025477707006369428,0.5012182232256693
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,jaccard_k20,7600,0.09845034460233207,0.09112071159318355,0.5284741331553328
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,jaccard_top5,7600,0.0775569095881596,0.07579685099846391,0.507738995295699
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,spearman,7600,0.03214469568101733,0.02556253731818101,0.509796843214182
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,top1_match,7600,0.028012387387387386,0.024193548387096774,0.5019094195001453
setfit_ag_news,graphsvx,constituency,gnn_agrees_teacher,jaccard_k20,7600,0.0983012184434682,0.08055555060536694,0.5542982488668552
setfit_ag_news,graphsvx,constituency,gnn_agrees_teacher,jaccard_top5,7600,0.07773181221364624,0.06211302487898233,0.5519634997561136
setfit_ag_news,graphsvx,constituency,gnn_agrees_teacher,spearman,7600,0.0323032723342123,0.000601619055853811,0.5471732468463535
setfit_ag_news,graphsvx,constituency,gnn_agrees_teacher,top1_match,7600,0.028287974259284088,0.0,0.514143987129642
setfit_ag_news,graphsvx,syntactic,bert_correct,jaccard_k20,7600,0.10484180417962204,0.10399757280116137,0.5032633372436796
setfit_ag_news,graphsvx,syntactic,bert_correct,jaccard_top5,7600,0.08061305599529754,0.08151349711859267,0.49999865982043373
setfit_ag_news,graphsvx,syntactic,bert_correct,spearman,7600,0.016866396636083265,0.02358427729481986,0.4920446940950795
setfit_ag_news,graphsvx,syntactic,bert_correct,top1_match,7600,0.027773881329779773,0.02335456475583864,0.5022096582869705
setfit_ag_news,graphsvx,syntactic,gnn_correct_gold,jaccard_k20,7600,0.10483597453159571,0.1041059587170194,0.49992015432571923
setfit_ag_news,graphsvx,syntactic,gnn_correct_gold,jaccard_top5,7600,0.08066217868072845,0.08076708644890465,0.5000630054957051
setfit_ag_news,graphsvx,syntactic,gnn_correct_gold,spearman,7600,0.017176855779167798,0.018839319214751453,0.5008527518013184
setfit_ag_news,graphsvx,syntactic,gnn_correct_gold,top1_match,7600,0.027965148960089937,0.02066115702479339,0.5036519959676482
setfit_ag_news,graphsvx,syntactic,gnn_agrees_teacher,jaccard_k20,7600,0.10484038694537673,0.10209668482487577,0.4965361470126526
setfit_ag_news,graphsvx,syntactic,gnn_agrees_teacher,jaccard_top5,7600,0.08076426262510188,0.07562197455814476,0.5094317018138876
setfit_ag_news,graphsvx,syntactic,gnn_agrees_teacher,spearman,7600,0.017326724277736655,0.01495531799191531,0.5028424892960952
setfit_ag_news,graphsvx,syntactic,gnn_agrees_teacher,top1_match,7600,0.027617643115699156,0.02127659574468085,0.5031705236855092
setfit_ag_news,graphsvx,window,bert_correct,jaccard_k20,7600,0.11620637357431782,0.1125750013341994,0.5132583964483455
setfit_ag_news,graphsvx,window,bert_correct,jaccard_top5,7600,0.0920029301288945,0.09398274525663061,0.4937318312600756
setfit_ag_news,graphsvx,window,bert_correct,spearman,7600,0.04293153024266171,0.04265939969859548,0.5020629830788929
setfit_ag_news,graphsvx,window,bert_correct,top1_match,7600,0.03324449431897882,0.040339702760084924,0.49645239577944694
setfit_ag_news,graphsvx,window,gnn_correct_gold,jaccard_k20,7600,0.11613960642603068,0.11362298299901495,0.5094042386194465
setfit_ag_news,graphsvx,window,gnn_correct_gold,jaccard_top5,7600,0.09191784455053201,0.09522149166500632,0.4884815334416664
setfit_ag_news,graphsvx,window,gnn_correct_gold,spearman,7600,0.04292294890366803,0.042791243234414314,0.5047232689327313
setfit_ag_news,graphsvx,window,gnn_correct_gold,top1_match,7600,0.03327716933445661,0.0397489539748954,0.4967641076797806
setfit_ag_news,graphsvx,window,gnn_agrees_teacher,jaccard_k20,7600,0.1160629548502215,0.11150123410048743,0.5099901093878065
setfit_ag_news,graphsvx,window,gnn_agrees_teacher,jaccard_top5,7600,0.09217843532554144,0.08922735760971055,0.5026243616417628
setfit_ag_news,graphsvx,window,gnn_agrees_teacher,spearman,7600,0.043091766945170654,0.03319491087661749,0.5124154766408171
setfit_ag_news,graphsvx,window,gnn_agrees_teacher,top1_match,7600,0.0334941050375134,0.04411764705882353,0.49468822898934495
