dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,regime,n_regime,n_errors_regime,error_rate_regime,ece,share_of_errors_in_regime,auroc_confidence,auroc_confidence_plus_explanation,auprc_confidence,auprc_confidence_plus_explanation,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,all,7600,267,0.0351315789473684,0.004980598178349084,1.0,0.9480466681069772,0.9478112130735259,0.32799110552613986,0.3313213979174142,-0.00016142542292638885,-0.0064267392246224716,0.005554640221708747,0.005561803177017081,-0.02809484148200922,0.0361889548042612
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,confidence>0.9,6823,51,0.007474717866041369,,0.19101123595505617,0.9320413930486549,0.9164842546587447,0.07035608571107924,0.06903258215324055,-0.015104320874210025,-0.049562926357583144,0.014941690606501079,-0.0020358848946614694,-0.024790149750167405,0.02185789792819743
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,267,0.0351315789473684,0.9380263157894737,confidence>0.95,6580,30,0.00455927051671734,,0.11235955056179775,0.9270127226463105,0.8838625954198475,0.04783408466573489,0.037606216842888146,-0.044282019307590036,-0.11491070540781739,0.011102782656154752,-0.012209581690497486,-0.04611052393665693,0.016801069926410492
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,all,7600,574,0.07552631578947366,0.04262663923596084,1.0,0.8453759604693766,0.8366755733557092,0.32158996580418747,0.3187973896943708,-0.00857795529923601,-0.019761820245225704,0.003658898099842938,-0.002983700313242715,-0.01851082729247814,0.011482784921055984
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,confidence>0.9,6823,288,0.04221017147882167,,0.5017421602787456,0.7767985420385957,0.7747800306044376,0.14250852126893326,0.14334944189941737,-0.0023565775402474938,-0.02571627877217857,0.01963390139371491,0.000147563894733191,-0.015412437813084462,0.015697658481350987
setfit_ag_news,graphsvx,constituency,gold_label,7600,574,0.07552631578947366,0.9380263157894737,confidence>0.95,6580,231,0.03510638297872337,,0.4024390243902439,0.7548429414865073,0.7505234829222858,0.0994503001785879,0.10300302242055884,-0.004344131015968072,-0.02871976160915807,0.023208183675033776,0.003358830147557806,-0.010360739766752138,0.015904926931517925
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,263,0.034605263157894695,0.9380263157894737,all,7600,263,0.034605263157894695,0.003704040105405625,1.0,0.9490695371291196,0.9540155604879897,0.3353387420664129,0.3817417303054676,0.004928771822245091,0.0009347772930580645,0.009899860600278464,0.046383655927305104,0.014363754495762496,0.08058454916883707
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,263,0.034605263157894695,0.9380263157894737,confidence>0.9,6854,47,0.006857309600233452,,0.17870722433460076,0.9216107323812471,0.9046600964589018,0.09557835615169945,0.09207302642548001,-0.01629466395541008,-0.05052804129231683,0.013631733308671158,-0.0021667273806707456,-0.02857836856644216,0.03153704657776403
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,263,0.034605263157894695,0.9380263157894737,confidence>0.95,6636,22,0.0033152501506932275,,0.08365019011406843,0.8714916018363252,0.7252522198092201,0.04401754431333722,0.021156698315323984,-0.14703664091628235,-0.3151325896675439,-0.0025974287351818314,-0.02433656834184267,-0.054325661781442325,-0.004414373472649153
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,564,0.0742105263157895,0.9380263157894737,all,7600,564,0.0742105263157895,0.04253237886648426,1.0,0.8460599288764167,0.8492794402848169,0.31542453751798516,0.3471301105079306,0.0035021812665900526,-0.009219983332104748,0.016499681037537597,0.03215700040567978,0.010801603589076478,0.055047819713688086
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,564,0.0742105263157895,0.9380263157894737,confidence>0.9,6854,282,0.0411438576014006,,0.5,0.7786121435015517,0.8001909023020508,0.13978118604165726,0.1645375490600285,0.02189317728552291,0.00028273427533747627,0.042527468327295696,0.02604236236906052,0.009614528466316632,0.04851650939823608
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,564,0.0742105263157895,0.9380263157894737,confidence>0.95,6636,231,0.034810126582278444,,0.4095744680851064,0.7609882701217595,0.7831848089459331,0.10959789723579799,0.13075341944682026,0.02252038677837773,-0.00242537183726908,0.046864606266032484,0.022251083954528954,0.004405159384401257,0.042068780558967706
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,317,0.04171052631578942,0.9380263157894737,all,7600,317,0.04171052631578942,0.003412938870881748,1.0,0.9351499603025238,0.9418926838395971,0.341454144651772,0.3666439172898828,0.006848124128117506,0.0025047394828864394,0.011595420067821313,0.026913235756040113,-0.0031870501007970936,0.05913091923080049
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,317,0.04171052631578942,0.9380263157894737,confidence>0.9,6674,53,0.007941264608930187,,0.167192429022082,0.8710250118975358,0.8090010914386188,0.08597208823815006,0.07329989419741724,-0.062306493001170776,-0.1332202855821465,-0.001213129682224428,-0.015144870178824122,-0.07236123263031084,0.033202884220367074
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,317,0.04171052631578942,0.9380263157894737,confidence>0.95,6420,30,0.004672897196261627,,0.0946372239747634,0.8016849243609807,0.728017736045905,0.02902452178075371,0.04953529435494784,-0.07550014136365217,-0.2073969358362343,0.03476830172615095,0.02545509862577517,-0.008297757846481747,0.07715515682163947
setfit_ag_news,graphsvx,syntactic,gold_label,7600,606,0.0797368421052631,0.9380263157894737,all,7600,606,0.0797368421052631,0.04080891824082325,1.0,0.839939184081405,0.8467491230106711,0.31443230128575417,0.31943817952671605,0.006952017716045153,-0.0025776411788724666,0.01654742057041312,0.005414307284160385,-0.014422893805194573,0.024558917037334208
setfit_ag_news,graphsvx,syntactic,gold_label,7600,606,0.0797368421052631,0.9380263157894737,confidence>0.9,6674,268,0.0401558285885526,,0.44224422442244227,0.7591955536087902,0.77503774446531,0.16040742463465496,0.15138391579318372,0.015797926725800562,-0.00807511886747101,0.03807600535185503,-0.007510309759338958,-0.04157036294876678,0.026150572206779167
setfit_ag_news,graphsvx,syntactic,gold_label,7600,606,0.0797368421052631,0.9380263157894737,confidence>0.95,6420,212,0.03302180685358258,,0.34983498349834985,0.7343886768138495,0.7562563825131298,0.09427807562863329,0.10760408068716817,0.022210303466042528,-0.004618579896520034,0.0492651214108484,0.01421384638906507,-0.010083917109418354,0.04076232398830176
setfit_ag_news,graphsvx,window,teacher_agreement,7600,266,0.03500000000000003,0.9380263157894737,all,7600,266,0.03500000000000003,0.004370924681425132,1.0,0.9446321694610128,0.9493880597320954,0.317501439688124,0.3264014204910205,0.004943779935756425,-0.0017190860824286612,0.013263694005853418,0.008337947901616424,-0.024235731713139946,0.03795635382264567
setfit_ag_news,graphsvx,window,teacher_agreement,7600,266,0.03500000000000003,0.9380263157894737,confidence>0.9,6837,52,0.007605675003656609,,0.19548872180451127,0.9081798084008843,0.9233943653987869,0.07643922119714182,0.07665425553140047,0.01514132487667984,-0.01323426754451519,0.049580534394848816,-0.0022577578577228966,-0.04625658756792188,0.0310539554145204
