dataset,method,regime,n,n_bert_errors,addition,n_added,auroc_base,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,graphsvx,all,7600,471,bert_explanation,19,0.8868036687564534,0.8852889680289742,-0.0014405834219132952,-0.006996876495416554,0.004701533896990751,0.3342144929388435,0.35446132758735255,0.018953350706376028,-0.0016837744462236568,0.03778116376591693
setfit_ag_news,graphsvx,all,7600,471,constituency:gnn_confidence,3,0.8868036687564534,0.8860329165970519,-0.0007908085499565844,-0.0014085427145542173,-0.0002810405695990587,0.3342144929388435,0.33082592684203654,-0.0035716955565571833,-0.007951904745235449,0.0008176599911876337
setfit_ag_news,graphsvx,all,7600,471,constituency:gnn_disagreement,1,0.8868036687564534,0.8864290141132822,-0.00037570119886409423,-0.0007405912555491278,-3.984367792695954e-05,0.3342144929388435,0.3334776880225998,-0.0007256478770358474,-0.0047027274207002406,0.0031875084854694475
setfit_ag_news,graphsvx,all,7600,471,constituency:gnn_confidence+explanation,22,0.8868036687564534,0.8789603422997303,-0.007853752188637802,-0.011955748591101947,-0.0042430447585755406,0.3342144929388435,0.3183893732597172,-0.016060590095870075,-0.030271985807991193,-0.002292923816778302
setfit_ag_news,graphsvx,all,7600,471,constituency:gnn_confidence+explanation+bert_explanation,41,0.8868036687564534,0.8797227555640533,-0.006992369309532409,-0.01387681358413291,0.0003853236739153237,0.3342144929388435,0.33848471466106067,0.0037917409767721203,-0.018411577139182216,0.02574601253501597
setfit_ag_news,graphsvx,all,7600,471,syntactic:gnn_confidence,3,0.8868036687564534,0.8841367114197297,-0.0027289206342095778,-0.006239972534853025,-0.00017516194716434857,0.3342144929388435,0.3310273815816257,-0.0032647776445674024,-0.008725049402917597,0.002135390932161601
setfit_ag_news,graphsvx,all,7600,471,syntactic:gnn_disagreement,1,0.8868036687564534,0.886015643171532,-0.0007827700404153631,-0.0014558472863077042,-0.0001535408360710285,0.3342144929388435,0.3324317608317197,-0.0016832534950937976,-0.007854939993808123,0.004435174352804998
setfit_ag_news,graphsvx,all,7600,471,syntactic:gnn_confidence+explanation,22,0.8868036687564534,0.8802877157056239,-0.0065197878319591795,-0.011796513863900373,-0.001950066332590012,0.3342144929388435,0.325921128122373,-0.008999974639700242,-0.02490681969626663,0.008154843254632485
setfit_ag_news,graphsvx,all,7600,471,syntactic:gnn_confidence+explanation+bert_explanation,41,0.8868036687564534,0.8800670328037241,-0.006649382864596114,-0.013430372179049585,0.0011466769386905193,0.3342144929388435,0.34886384634636863,0.01326708846942944,-0.009852522240046988,0.03509347106738761
setfit_ag_news,graphsvx,all,7600,471,window:gnn_confidence,3,0.8868036687564534,0.8859286804085701,-0.0008689134365010879,-0.001732605606604612,-0.0001036522925610268,0.3342144929388435,0.32672619717839935,-0.007524201307845271,-0.01323892207270785,-0.002783099466535281
setfit_ag_news,graphsvx,all,7600,471,window:gnn_disagreement,1,0.8868036687564534,0.8870484748905447,0.0002420144966345943,-0.00042234201743095997,0.0009321714906077665,0.3342144929388435,0.33746084632762885,0.002935487639876241,-0.005117681376306522,0.010467200639873466
setfit_ag_news,graphsvx,all,7600,471,window:gnn_confidence+explanation,22,0.8868036687564534,0.8805721315913381,-0.0062409763069744524,-0.010363954645779331,-0.002369804516313635,0.3342144929388435,0.3159330052902273,-0.01903703572283221,-0.033690249222550116,-0.00564166890869364
setfit_ag_news,graphsvx,all,7600,471,window:gnn_confidence+explanation+bert_explanation,41,0.8868036687564534,0.881258303529229,-0.005465099532508337,-0.012233904616841484,0.0017742316691699905,0.3342144929388435,0.3382409568081805,0.003041438450743907,-0.01726340997084907,0.025388847565649294
setfit_ag_news,graphsvx,all,7600,471,skipgrams:gnn_confidence,3,0.8868036687564534,0.886163658559176,-0.0006401175278116663,-0.0013131227477130997,-2.090600552983061e-05,0.3342144929388435,0.3287414138271154,-0.005429965232912732,-0.013648722099964572,0.0020539158683905334
setfit_ag_news,graphsvx,all,7600,471,skipgrams:gnn_disagreement,1,0.8868036687564534,0.8865782207716515,-0.00021646727174095748,-0.0006552679324545174,0.00021388525661455152,0.3342144929388435,0.33684007725079584,0.0023114952658713026,-0.0035845763219463974,0.00842513546246132
setfit_ag_news,graphsvx,all,7600,471,skipgrams:gnn_confidence+explanation,22,0.8868036687564534,0.8809884807099021,-0.005825633857240552,-0.009391844329759608,-0.0019306622966605653,0.3342144929388435,0.31543281754888214,-0.01887560430838506,-0.0356124798374568,-0.0027511963892236603
setfit_ag_news,graphsvx,all,7600,471,skipgrams:gnn_confidence+explanation+bert_explanation,41,0.8868036687564534,0.8806662419786531,-0.006070606967826125,-0.012523937646650251,0.0015121156587490363,0.3342144929388435,0.33890471408461764,0.00446253144045851,-0.020050112599854387,0.028307901572848498
setfit_ag_news,graphsvx,all,7600,471,committee:confidence+disagreement(4 topologies),16,0.8868036687564534,0.8824894818240379,-0.004353909982226643,-0.008242864905859525,-0.0012980727141588045,0.3342144929388435,0.3216097154801968,-0.012248519007591408,-0.026895324482845616,0.001924337932021446
setfit_ag_news,graphsvx,all,7600,471,committee:confidence+explanation(4 topologies),88,0.8868036687564534,0.8670774168128207,-0.0197200425999061,-0.02698906821023136,-0.012992244410541212,0.3342144929388435,0.2937106289151418,-0.04083622047205729,-0.06300656482493736,-0.018769304082449523
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,bert_explanation,19,0.8106061598379266,0.8002768172133151,-0.010043366769136728,-0.02925045030142585,0.010405264446673609,0.09288454724528535,0.08453702606583749,-0.008892824500478702,-0.034701899440901074,0.017991348034704164
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,constituency:gnn_confidence,3,0.8106061598379266,0.8089480945894023,-0.0016430465483514873,-0.0034892011249724212,-0.00026005416334235756,0.09288454724528535,0.09448408971182734,7.519549362547635e-05,-0.008110766406956078,0.008705485283230681
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,constituency:gnn_disagreement,1,0.8106061598379266,0.8097307363163226,-0.0008656958608765762,-0.0019746145849833725,-0.0002535329006884718,0.09288454724528535,0.08937195996006693,-0.003729531462694453,-0.011610400195087621,-0.000375784777036733
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,constituency:gnn_confidence+explanation,22,0.8106061598379266,0.7865669426106395,-0.023676967810429418,-0.038491830620999944,-0.011347336911585716,0.09288454724528535,0.08243676033901327,-0.011180375728962104,-0.031086728814814484,0.004293885117524547
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,constituency:gnn_confidence+explanation+bert_explanation,41,0.8106061598379266,0.7851468353767159,-0.024936604722077604,-0.04804716771205209,-0.002191213913362528,0.09288454724528535,0.0795780257949353,-0.014807448542642064,-0.038434006527389354,0.004589042008747018
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,syntactic:gnn_confidence,3,0.8106061598379266,0.8022143193964162,-0.008456392651052884,-0.021623166356700106,5.6889841925244396e-05,0.09288454724528535,0.08884890728904914,-0.004841601988015819,-0.01697866531903314,0.004846395921094723
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,syntactic:gnn_disagreement,1,0.8106061598379266,0.8088847846589122,-0.0016877169674762626,-0.003775282694802565,-7.653595679749968e-05,0.09288454724528535,0.08574690339876113,-0.00826402083477539,-0.021451529400367413,-0.000681218355651623
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,syntactic:gnn_confidence+explanation,22,0.8106061598379266,0.7922288151873974,-0.0180777213619573,-0.036822254558540324,-0.0004217935637409314,0.09288454724528535,0.08062097536914879,-0.013464586432252105,-0.037721011369063986,0.007509844012351529
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,syntactic:gnn_confidence+explanation+bert_explanation,41,0.8106061598379266,0.787973951238255,-0.022104646366698157,-0.047775571413503616,0.0028858415329372513,0.09288454724528535,0.07937150714985529,-0.015027692238188813,-0.042115809468157704,0.009836062733768258
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,window:gnn_confidence,3,0.8106061598379266,0.8086588337000944,-0.0019243441744388244,-0.00508389631281258,0.00022786461031097926,0.09288454724528535,0.09572938694697912,0.0014045463786788157,-0.008129802393652059,0.011383314665292443
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,window:gnn_disagreement,1,0.8106061598379266,0.8108692235146181,0.00025083393123475993,-0.0006309848186818928,0.0016190334757917588,0.09288454724528535,0.09824322498464429,0.0041562910427082,-0.008583421920344553,0.020816773403774518
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,window:gnn_confidence+explanation,22,0.8106061598379266,0.7915935327814454,-0.018992771043062462,-0.033771574153961335,-0.006247613387091214,0.09288454724528535,0.08873872334915632,-0.004073955808833095,-0.02307591006123564,0.018258225463169464
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,window:gnn_confidence+explanation+bert_explanation,41,0.8106061598379266,0.789533776939467,-0.020796453638195673,-0.04342952967201966,0.0013344036985365165,0.09288454724528535,0.08348478294017282,-0.01045613538878428,-0.03472772365367883,0.01449967734761793
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,skipgrams:gnn_confidence,3,0.8106061598379266,0.8092602780397498,-0.0013500410439944168,-0.0032433143512979904,8.54125701232133e-05,0.09288454724528535,0.08961040080049767,-0.003407343840885391,-0.014277200057252363,0.005763143826573832
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,skipgrams:gnn_disagreement,1,0.8106061598379266,0.8100483775192986,-0.0005582005534590694,-0.0009670695450353789,-0.00021639127150153154,0.09288454724528535,0.08917616631166528,-0.00413879621337302,-0.01286558743838806,0.00017494872262704167
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,skipgrams:gnn_confidence+explanation,22,0.8106061598379266,0.7937733591812497,-0.016977243650905915,-0.029748849714818552,-0.003964102197807616,0.09288454724528535,0.07638941704025884,-0.018495099718753367,-0.03953823953372875,-0.003692102912264579
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,skipgrams:gnn_confidence+explanation+bert_explanation,41,0.8106061598379266,0.7879412047224843,-0.022438470899544385,-0.04512856603315988,0.0001741950066624275,0.09288454724528535,0.07708604358983283,-0.01719569835567013,-0.0431142234022051,0.005910048408827113
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,committee:confidence+disagreement(4 topologies),16,0.8106061598379266,0.7987704774878619,-0.011855901177158366,-0.026293124057237098,-0.0020178781965084825,0.09288454724528535,0.08877902927583087,-0.006403818573007989,-0.02254656563892328,0.0068896023436624005
setfit_ag_news,graphsvx,bert_confidence>0.9,6506,144,committee:confidence+explanation(4 topologies),88,0.8106061598379266,0.7583874742394077,-0.051782618168849485,-0.07498832829252809,-0.030461397532159273,0.09288454724528535,0.06724870477070953,-0.027315029913143014,-0.054472312444328486,-0.005786943043713791
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,bert_explanation,19,0.799738285501518,0.782408203013118,-0.01683870883568512,-0.04578995723425483,0.016957313193297432,0.05382084223468235,0.04990246855332167,-0.0030895591821764904,-0.022657525947624678,0.020404104841443626
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,constituency:gnn_confidence,3,0.799738285501518,0.7973824969926103,-0.002421972908159364,-0.005580268253179657,-0.00029512511319287096,0.05382084223468235,0.051872376947369535,-0.00291045174273208,-0.013536117299642152,0.0008020947700273595
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,constituency:gnn_disagreement,1,0.799738285501518,0.7985048977487541,-0.0012508285228265848,-0.002971946778061277,-0.00029916060190616215,0.05382084223468235,0.05240216386410133,-0.0018260925935689868,-0.008236412534417738,-0.00014050207680566844
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,constituency:gnn_confidence+explanation,22,0.799738285501518,0.7622390015466576,-0.0382844923920044,-0.06333297293650766,-0.01605948247019597,0.05382084223468235,0.04890391015878914,-0.0053914083829994615,-0.018406030852333898,0.00340159713486863
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,constituency:gnn_confidence+explanation+bert_explanation,41,0.799738285501518,0.7569760697714384,-0.04257754866894043,-0.08133164035890605,-0.0023529023949732056,0.05382084223468235,0.04638252280236418,-0.0072974861205697935,-0.025496048287030774,0.01177262563858242
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,syntactic:gnn_confidence,3,0.799738285501518,0.7866686715930573,-0.013593513742050041,-0.03476935564319219,0.0011693388285116142,0.05382084223468235,0.05273178847862575,-0.0022108639166658673,-0.016266843145534306,0.00570970303468083
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,syntactic:gnn_disagreement,1,0.799738285501518,0.7970656470183881,-0.002715522621217886,-0.006127764223760037,-0.00010291705408201433,0.05382084223468235,0.05096402383720561,-0.0039504997256597455,-0.014732066811795919,-0.0004094731037192421
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,syntactic:gnn_confidence+explanation,22,0.799738285501518,0.7729581972847568,-0.02773155127689583,-0.05684656622679852,0.00039608236125227383,0.05382084223468235,0.0655638641386561,0.01429468420265507,-0.012928842193020965,0.048426342128591364
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,syntactic:gnn_confidence+explanation+bert_explanation,41,0.799738285501518,0.7650279973649539,-0.034869444085471976,-0.07293329935130079,0.004922987023263739,0.05382084223468235,0.055642134782341424,0.004070219206163729,-0.021423274607140424,0.03633536541844523
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,window:gnn_confidence,3,0.799738285501518,0.7967201552385862,-0.0030916202209343513,-0.00801195447299571,0.00038923035181274426,0.05382084223468235,0.053186591647315484,-0.0015647245140478945,-0.014094300996290743,0.005894061769438855
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,window:gnn_disagreement,1,0.799738285501518,0.8002538380019476,0.000533966864025935,-0.0007556849541691752,0.0026378249035272716,0.05382084223468235,0.05248344721816818,-0.0020527615007761234,-0.011376132043690675,0.0016544823058027422
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,window:gnn_confidence+explanation,22,0.799738285501518,0.7682895829753107,-0.031711101442077665,-0.054018999950688554,-0.0101522739190483,0.05382084223468235,0.04827431729374204,-0.005765870528972295,-0.024096566478637043,0.010306832308650348
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,window:gnn_confidence+explanation+bert_explanation,41,0.799738285501518,0.7625880735521566,-0.0367137603921498,-0.06909280000118125,-0.0012422477869667437,0.05382084223468235,0.04509893433276047,-0.008747738404997566,-0.02811858536210551,0.010879437422380752
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,skipgrams:gnn_confidence,3,0.799738285501518,0.7974809531992897,-0.0023424342189394165,-0.005367751249577035,-8.485309572937328e-05,0.05382084223468235,0.05256405731162726,-0.0018135252822109134,-0.010822040394636604,0.0020458565200477765
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,skipgrams:gnn_disagreement,1,0.799738285501518,0.7989756974279659,-0.0007717397288570484,-0.0012725689557434195,-0.0003631976617993416,0.05382084223468235,0.05210793695851688,-0.002330804658531864,-0.009676998271511545,-0.00028079793822269095
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,skipgrams:gnn_confidence+explanation,22,0.799738285501518,0.7754196024517385,-0.024476268390971362,-0.04646631767419185,-0.0019505651063445209,0.05382084223468235,0.04877094407743008,-0.005868540759800516,-0.02241841056134646,0.00529465921782406
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,skipgrams:gnn_confidence+explanation+bert_explanation,41,0.799738285501518,0.7635117717820933,-0.035881794587572124,-0.07202555788289544,0.0003312697282529564,0.05382084223468235,0.048207258751354454,-0.005285990740066099,-0.02531054032603585,0.014470120295877199
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,committee:confidence+disagreement(4 topologies),16,0.799738285501518,0.7809098785587444,-0.01935788882431824,-0.04275401231955877,-0.0033753959589768088,0.05382084223468235,0.04982546138779402,-0.005096448741578427,-0.01994335003443105,0.002976669100323355
setfit_ag_news,graphsvx,bert_confidence>0.95,5915,96,committee:confidence+explanation(4 topologies),88,0.799738285501518,0.7194123417540242,-0.08077804049332364,-0.11728639750645628,-0.045169646451456893,0.05382084223468235,0.03912552624012133,-0.01582906869473973,-0.03334545242026366,-0.004387208766607225
setfit_ag_news,subgraphx,all,7600,471,bert_explanation,19,0.8868036687564534,0.8852889680289742,-0.0014405834219132952,-0.006996876495416554,0.004701533896990751,0.3342144929388435,0.35446132758735255,0.018953350706376028,-0.0016837744462236568,0.03778116376591693
setfit_ag_news,subgraphx,all,7600,471,constituency:gnn_confidence,3,0.8868036687564534,0.8860329165970517,-0.0007908152661847476,-0.0014088407852572704,-0.00028073434860174945,0.3342144929388435,0.3308242476010966,-0.0035734546744605688,-0.007957052531490101,0.000817622299944138
setfit_ag_news,subgraphx,all,7600,471,constituency:gnn_disagreement,1,0.8868036687564534,0.8864290141132822,-0.00037570119886409423,-0.0007405912555491278,-3.984367792695954e-05,0.3342144929388435,0.3334776880225998,-0.0007256478770358474,-0.0047027274207002406,0.0031875084854694475
setfit_ag_news,subgraphx,all,7600,471,constituency:gnn_confidence+explanation,22,0.8868036687564534,0.8783280753621687,-0.008469298055947847,-0.011955941140238338,-0.00483407666838987,0.3342144929388435,0.3187471306214242,-0.01568016054544612,-0.029261298033536078,-0.0020907731743650413
setfit_ag_news,subgraphx,all,7600,471,constituency:gnn_confidence+explanation+bert_explanation,41,0.8868036687564534,0.8781365785930438,-0.008586168900628811,-0.015642922606914016,-0.0011728379350177498,0.3342144929388435,0.33628777223488504,0.0015662367518680608,-0.021990501990470007,0.023729201159432688
setfit_ag_news,subgraphx,all,7600,471,syntactic:gnn_confidence,3,0.8868036687564534,0.8841367114197297,-0.002728920634209577,-0.006239972534853025,-0.00017516194716434857,0.3342144929388435,0.3310273815816257,-0.0032647776445674024,-0.008725049402917597,0.002135390932161601
