dataset,method,graph,label,n,accuracy_mean,accuracy_std,splits,bootstrap_mean,bootstrap_std,bootstrap_samples,pooled_model_accuracy_mean,pooled_model_accuracy_std,stratify_by
setfit_ag_news,graphsvx,skipgrams,0,1870,0.8994652406417112,0.0193993124569166,10,0.9080133689839572,0.0126137100682968,200,,,prediction_class
setfit_ag_news,graphsvx,skipgrams,1,1915,0.9498663830715532,0.015162295449844,10,0.9600409985820244,0.0102653191362318,200,,,prediction_class
setfit_ag_news,graphsvx,skipgrams,2,1922,0.8871194948186527,0.0187653249420579,10,0.8890825777202072,0.0087244134527394,200,,,prediction_class
setfit_ag_news,graphsvx,skipgrams,3,1893,0.9038290169869118,0.0247381487008095,10,0.905355611250348,0.0129750410204912,200,,,prediction_class
setfit_ag_news,graphsvx,skipgrams,all,7600,0.9101297528657498,0.0310104614468318,10,0.9156734735210164,0.0290285547656221,800,0.8935526315789474,0.0112490381244692,prediction_class
setfit_ag_news,graphsvx,constituency,0,1782,0.8518423200050217,0.0309645451412445,10,0.8647424047454648,0.0174966270411535,200,,,prediction_class
setfit_ag_news,graphsvx,constituency,1,1943,0.8826434047052605,0.0174358950313447,10,0.8962741210679356,0.0138460124039225,200,,,prediction_class
setfit_ag_news,graphsvx,constituency,2,1888,0.8257429922323538,0.0157558775918531,10,0.8259068023190363,0.0141586590355736,200,,,prediction_class
setfit_ag_news,graphsvx,constituency,3,1987,0.8968275722044566,0.017016897206828,10,0.8983587508248313,0.0077250709070024,200,,,prediction_class
setfit_ag_news,graphsvx,constituency,all,7600,0.8649945138021327,0.0347531524077959,10,0.8719450609419338,0.032536520750519,800,0.8685526315789474,0.010233594397553,prediction_class
setfit_ag_news,graphsvx,window,0,1850,0.908108108108108,0.0267007330491426,10,0.915691891891892,0.0096167875579281,200,,,prediction_class
setfit_ag_news,graphsvx,window,1,1926,0.9319867227979276,0.0151287057505816,10,0.943477817357513,0.010661351802383,200,,,prediction_class
setfit_ag_news,graphsvx,window,2,1876,0.8747212424621686,0.0261041810719324,10,0.8835452554329274,0.0099953825252581,200,,,prediction_class
setfit_ag_news,graphsvx,window,3,1948,0.8701268834258526,0.0143085738647453,10,0.8831242003700766,0.0110921687591291,200,,,prediction_class
setfit_ag_news,graphsvx,window,all,7600,0.8961829799843946,0.0331575103715499,10,0.9064506733873224,0.0272895755017136,800,0.8835526315789473,0.0099731287166511,prediction_class
setfit_ag_news,graphsvx,syntactic,0,1839,0.883095747208363,0.0222753551297032,10,0.896009028272749,0.0103700777868249,200,,,prediction_class
setfit_ag_news,graphsvx,syntactic,1,1937,0.939621280914481,0.0135709686249787,10,0.943642487046632,0.0091145879793833,200,,,prediction_class
setfit_ag_news,graphsvx,syntactic,2,1794,0.8784885164494103,0.0170434611745571,10,0.886663407821229,0.0094394361798348,200,,,prediction_class
setfit_ag_news,graphsvx,syntactic,3,2030,0.877832512315271,0.0257668903066443,10,0.8845270935960591,0.0099028564655847,200,,,prediction_class
setfit_ag_news,graphsvx,syntactic,all,7600,0.8950089340470752,0.0331321315430168,10,0.9028763492150258,0.0261031683223926,800,0.8888157894736842,0.0126514372411172,prediction_class
stanfordnlp_sst2,graphsvx,constituency,0,448,0.8525757575757575,0.0322667198531335,10,0.8662101010101009,0.0228728839306093,200,,,prediction_class
stanfordnlp_sst2,graphsvx,constituency,1,424,0.8985049833887044,0.0521011552346033,10,0.90953572473307,0.0227278652695522,200,,,prediction_class
stanfordnlp_sst2,graphsvx,constituency,all,872,0.8749083169159977,0.048803498403077,10,0.8872766886919116,0.0314463873602637,400,0.8727925809822361,0.0296633774979496,prediction_class
stanfordnlp_sst2,graphsvx,syntactic,0,417,0.7961672473867595,0.0389861753600395,10,0.823685830429733,0.0252751912447081,200,,,prediction_class
stanfordnlp_sst2,graphsvx,syntactic,1,455,0.817342995169082,0.0524315743609207,10,0.8310256038647341,0.0219850846212145,200,,,prediction_class
stanfordnlp_sst2,graphsvx,syntactic,all,872,0.8072165194520768,0.0476777517503809,10,0.8275156434032714,0.0238986215442533,400,0.8210161964472309,0.055223450914491,prediction_class
stanfordnlp_sst2,graphsvx,skipgrams,0,422,0.8698228128460685,0.0496436939074755,10,0.8729969545957919,0.0237853377173289,200,,,prediction_class
stanfordnlp_sst2,graphsvx,skipgrams,1,450,0.8688888888888888,0.0481253507282393,10,0.8736222222222222,0.0202230996060761,200,,,prediction_class
stanfordnlp_sst2,graphsvx,skipgrams,all,872,0.8693408566755055,0.0488682654656969,10,0.8733196271094313,0.0220213246001478,400,0.8588688610240334,0.0326675651556807,prediction_class
stanfordnlp_sst2,graphsvx,window,0,414,0.8336817653890825,0.0721530168086911,10,0.8476477932636469,0.0313270037808187,200,,,prediction_class
stanfordnlp_sst2,graphsvx,window,1,458,0.8734782608695653,0.0344539288119174,10,0.8863671497584542,0.0214598497518051,200,,,prediction_class
