dataset,method,graph,n,n_errors,auroc_confidence,auroc_confidence_plus_explanation,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_confidence,auprc_confidence_plus_explanation,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,graphsvx,constituency,7600,574,0.8415092870582238,0.848965539643197,0.0074562525849731776,-0.0015534169380849977,0.01570148306826173,0.33366987070955767,0.33817605009581314,0.004506179386255471,-0.011739708028551841,0.022292022434725174
setfit_ag_news,graphsvx,skipgrams,7600,564,0.8508147309278725,0.8645328079703571,0.013718077042484622,0.005238785018651326,0.022297371949282302,0.3532446537204076,0.3721798470098707,0.018935193289463137,-0.006324706319421416,0.04377140579849676
setfit_ag_news,graphsvx,syntactic,7600,606,0.841920726959742,0.8592931140411725,0.017372387081430518,0.008342763699347559,0.026102108171145076,0.3216030306855132,0.3394175012171617,0.017814470531648474,-0.0055379186051851825,0.04186696773773288
setfit_ag_news,graphsvx,window,7600,562,0.8399193397509604,0.851171677087979,0.01125233733701858,0.002085209008182637,0.020672916439290725,0.32313747066455023,0.3350934755862362,0.01195600492168597,-0.007836341067761588,0.03259409168968852
setfit_ag_news,subgraphx,constituency,7600,574,0.8413112917575437,0.8495253071964659,0.008214015438922195,-0.0005916727690335966,0.017862972398434485,0.3335710547300548,0.348674148172925,0.015103093442870252,-0.0032959774342129597,0.03685379228994271
setfit_ag_news,subgraphx,skipgrams,7600,564,0.8505070428072041,0.8667654998205783,0.01625845701337414,0.0076319858152925696,0.024739239962131978,0.3520973533221916,0.36596602217183827,0.01386866884964666,-0.007915608391492105,0.03507225115393164
setfit_ag_news,subgraphx,syntactic,7600,606,0.841920726959742,0.8520079917628594,0.01008726480311739,0.0021623573192203096,0.018916315803762015,0.3216030306855132,0.3303505897673541,0.008747559081840883,-0.010816302751991125,0.03266675331344434
setfit_ag_news,subgraphx,window,7600,562,0.8408865093306392,0.8602277519393956,0.01934124260875636,0.008521729493618905,0.03019635996938436,0.3326211006812454,0.32966063515535377,-0.0029604655258916313,-0.0251613782410537,0.0184226812298902
setfit_ag_news,token_shap_llm,tokens,7600,471,0.8821617334656835,0.8785812203913385,-0.0035805130743450375,-0.009847904002168279,0.002077258814254473,0.33443685750385466,0.34964901449412394,0.015212156990269288,-0.010470755872534893,0.041189857318943805
stanfordnlp_sst2,graphsvx,constituency,872,96,0.7797197164948453,0.7419458762886598,-0.03777384020618546,-0.06697191895434494,-0.008132773049012255,0.3286002744229547,0.27771708474076895,-0.05088318968218575,-0.11482994483233726,0.020248994325925137
stanfordnlp_sst2,graphsvx,skipgrams,872,106,0.8023486378639342,0.7753707079166461,-0.026977929947288093,-0.055510044308514306,0.0024553716242892588,0.32498985003739206,0.30324783217295553,-0.021742017864436525,-0.07312830576684051,0.02806647174644454
stanfordnlp_sst2,graphsvx,syntactic,872,109,0.7679909098560728,0.7774958817800329,0.00950497192396016,-0.020177780286793144,0.036864767827697396,0.2541243944625782,0.3124350406487492,0.058310646186171045,-0.008750656278769153,0.1259252926010282
stanfordnlp_sst2,graphsvx,window,872,98,0.7846596002742182,0.787091968570374,0.0024323682961557846,-0.024645670032615766,0.0298440690372538,0.284743164172605,0.32446467179535726,0.03972150762275228,-0.015778877388043806,0.11263164388579448
stanfordnlp_sst2,subgraphx,constituency,872,96,0.7797197164948453,0.7548727448453608,-0.02484697164948446,-0.06158396782452739,0.011112631288653417,0.3286002744229547,0.24760759535049748,-0.08099267907245722,-0.1506531781853563,-0.018083263627099225
stanfordnlp_sst2,subgraphx,skipgrams,872,106,0.7984691364106606,0.7663185378590078,-0.03215059855165281,-0.06258746384694545,-0.0036238567299815673,0.31987327768045515,0.2863928358660798,-0.03348044181437537,-0.08511664302055044,0.01787844146964541
stanfordnlp_sst2,subgraphx,syntactic,872,109,0.7679909098560728,0.7635480418916157,-0.004442867964457031,-0.03509562022811962,0.02393550699273185,0.2541243944625782,0.3036933203083584,0.04956892584578021,-0.01160677043654232,0.11804011546109527
stanfordnlp_sst2,subgraphx,window,872,98,0.794250645994832,0.7770460897537309,-0.017204556241101066,-0.05242054458109112,0.018112249090665354,0.32562093481630827,0.3474394154953784,0.021818480679070107,-0.04670836092332439,0.0836245310176276
stanfordnlp_sst2,token_shap_llm,tokens,872,73,0.8252696006995045,0.8109451883347334,-0.01432441236477111,-0.046235199551985115,0.01924961980957428,0.287084810316695,0.23186306527629044,-0.055221745040404585,-0.13499342019290103,0.022732533643633573
