dataset,method,graph,target,regime,n,n_errors,auroc_base,auroc_overlap_only,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,graphsvx,constituency,bert_correct,all,7600,471,0.8868036687564534,0.5144325426571711,0.8847796997938209,-0.002069316296343227,-0.0037875087425341845,-0.0003886045921444232,0.3342144929388435,0.3346292281372583,-0.00028971456309784385,-0.006016096238075361,0.005790795533857515
setfit_ag_news,graphsvx,constituency,bert_correct,confidence>0.9,6506,144,0.8106061598379266,0.5076921565545427,0.8043930542456948,-0.006128720390478207,-0.01169538724246355,-0.00047766030982040883,0.09288454724528535,0.08361432557733488,-0.010257368709892826,-0.023224942980284824,-0.000958785495517922
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,all,7600,574,0.8475255174657395,0.5214932143526632,0.830893912208611,-0.016713670978997806,-0.026219742051011293,-0.007176812943304646,0.3233317321004499,0.319253271520417,-0.0043343195243266555,-0.010102620471007967,0.001834425881393272
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,confidence>0.9,6823,288,0.7822281730850973,0.5128735229108221,0.7470134106945507,-0.03480933963481728,-0.05589423968831428,-0.013966995041454211,0.14666555586963997,0.14066989508993025,-0.0060178706439450716,-0.011455069629040523,-0.0001994971999999822
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,all (base = confidence+explanation),7600,574,0.8339814982875948,0.5214932143526632,0.8319479861261952,-0.0020621165478492986,-0.004609161810099974,0.0006849918472982432,0.3137624760508015,0.3125466445407938,-0.0013416417192367838,-0.006168923100106229,0.0036371196098978257
setfit_ag_news,graphsvx,constituency,gnn_agrees_teacher,all,7600,267,0.9483388162178975,0.5465340355102964,0.9476692250056311,-0.0007191464707434705,-0.003282281647178531,0.001240041269081557,0.329163090414102,0.32703361224886,-0.00213680184000435,-0.013782583674198158,0.009363198934571798
setfit_ag_news,graphsvx,constituency,gnn_agrees_teacher,all (base = confidence+explanation),7600,267,0.9479102982719847,0.5465340355102964,0.947675353986979,-0.0002380544453035789,-0.001492032149483505,0.0009950824236509331,0.3262561574588913,0.32310815635285217,-0.0035244056818052,-0.016370061339362474,0.00840915829280826
setfit_ag_news,graphsvx,syntactic,bert_correct,all,7600,471,0.8868036687564534,0.5059046822598048,0.8846662312572166,-0.002070769190630756,-0.005618724040197693,0.0011113735608243656,0.3342144929388435,0.33833517985299766,0.004240174278327279,-0.004833013177307155,0.01357248185008512
setfit_ag_news,graphsvx,syntactic,bert_correct,confidence>0.9,6506,144,0.8106061598379266,0.5357635614237313,0.8031465035453561,-0.007618006129895654,-0.020234765073887294,0.003473680836616344,0.09288454724528535,0.08207990397192358,-0.01229518319411922,-0.03448691393467381,0.004563709190148266
setfit_ag_news,graphsvx,syntactic,gnn_correct_gold,all,7600,606,0.8424970106390106,0.485309425995502,0.8391997478272275,-0.003340375159130559,-0.01241175686028137,0.005653455292628,0.3150069526609232,0.31482177315648746,-0.0002800464964241069,-0.006861862796199216,0.0066018638583355835
