dataset,method,graph,outcome,n,flip_on_removal,decision_kept_by_explanation_alone,median_margin_ratio_after_removal,median_margin_ratio_explanation_alone
setfit_ag_news,graphsvx,constituency,error,496,0.21169354838709678,0.8830645161290323,0.7871813772695471,0.8246062165105736
setfit_ag_news,graphsvx,constituency,correct,7104,0.019144144144144143,0.9878941441441441,0.9969826513542681,0.9537251513882661
setfit_ag_news,graphsvx,skipgrams,error,478,0.05230125523012552,0.9790794979079498,0.8961758794579746,0.4914339750942177
setfit_ag_news,graphsvx,skipgrams,correct,7122,0.004914349901713002,0.9977534400449312,0.9993254095155775,0.7082127712798747
setfit_ag_news,graphsvx,syntactic,error,484,0.128099173553719,0.9958677685950413,0.4414783493262969,0.9175366420255225
setfit_ag_news,graphsvx,syntactic,correct,7116,0.012788083192804946,0.9991568296795953,0.908095134858673,0.9941401973240312
setfit_ag_news,graphsvx,window,error,478,0.07740585774058577,0.9414225941422594,0.8810455548681855,0.42510908269216097
setfit_ag_news,graphsvx,window,correct,7122,0.005475989890480202,0.9956472900870542,0.9993093652446607,0.6115495972827202
setfit_ag_news,subgraphx,constituency,error,496,0.0625,0.48588709677419356,0.9853445900168393,-0.007936498295248616
setfit_ag_news,subgraphx,constituency,correct,7104,0.004082207207207207,0.6841216216216216,0.9995049905081623,0.21344362631332237
setfit_ag_news,subgraphx,skipgrams,error,478,0.03347280334728033,0.9267782426778243,0.9622794605387194,0.1818845617452105
setfit_ag_news,subgraphx,skipgrams,correct,7122,0.001965739960685201,0.9898904802021904,0.9995867852160267,0.3169343984602315
setfit_ag_news,subgraphx,syntactic,error,484,0.05371900826446281,0.9028925619834711,0.8148846322887557,0.5632896951682917
setfit_ag_news,subgraphx,syntactic,correct,7116,0.005199550309162451,0.9880550871275998,0.9920371135208887,0.870856755355627
setfit_ag_news,subgraphx,window,error,478,0.04811715481171548,0.805439330543933,0.9528335565437762,0.2026535843998639
setfit_ag_news,subgraphx,window,correct,7122,0.0021061499578770007,0.9751474304970514,0.9994464542711918,0.4006893110556733
setfit_ag_news,token_shap_llm,tokens,error,471,0.19532908704883228,0.554140127388535,0.9922635221944625,0.44243276148332183
setfit_ag_news,token_shap_llm,tokens,correct,7129,0.02735306494599523,0.7710758872212091,0.999765569468358,0.9614616662070162
stanfordnlp_sst2,graphsvx,constituency,error,78,0.16666666666666666,1.0,0.8513538054485306,0.9153384649008749
stanfordnlp_sst2,graphsvx,constituency,correct,794,0.013853904282115869,1.0,0.9887011314760108,0.9713404041743442
stanfordnlp_sst2,graphsvx,skipgrams,error,78,0.038461538461538464,0.9230769230769231,0.9130413750770087,0.8335146503975447
stanfordnlp_sst2,graphsvx,skipgrams,correct,794,0.011335012594458438,0.9924433249370277,0.9961639879428623,0.9152125794912647
stanfordnlp_sst2,graphsvx,syntactic,error,84,0.2976190476190476,0.9880952380952381,0.4123016395031741,0.9761892409897426
stanfordnlp_sst2,graphsvx,syntactic,correct,788,0.050761421319796954,0.9961928934010152,0.8663645806021892,0.9866847861994028
stanfordnlp_sst2,graphsvx,window,error,76,0.09210526315789473,0.9473684210526315,0.9124475777751431,0.7750655467348394
stanfordnlp_sst2,graphsvx,window,correct,796,0.018844221105527637,0.9962311557788944,0.9926070184182616,0.8529589719306498
stanfordnlp_sst2,subgraphx,constituency,error,78,0.0641025641025641,0.6025641025641025,0.9726684838961228,0.5037910373642129
stanfordnlp_sst2,subgraphx,constituency,correct,794,0.0025188916876574307,0.672544080604534,0.9993361067734055,0.535091298118765
stanfordnlp_sst2,subgraphx,skipgrams,error,78,0.01282051282051282,0.5512820512820513,0.9856006217195161,0.5518403062741173
stanfordnlp_sst2,subgraphx,skipgrams,correct,794,0.007556675062972292,0.6095717884130982,0.998707134985785,0.5341557475350257
stanfordnlp_sst2,subgraphx,syntactic,error,84,0.14285714285714285,0.8928571428571429,0.7602601086505789,0.9450607727730376
stanfordnlp_sst2,subgraphx,syntactic,correct,788,0.03299492385786802,0.983502538071066,0.9025582284683022,0.9822396659448835
stanfordnlp_sst2,subgraphx,window,error,76,0.05263157894736842,0.7894736842105263,0.9576869890966087,0.5930066188799588
stanfordnlp_sst2,subgraphx,window,correct,796,0.010050251256281407,0.9459798994974874,0.9935210285705093,0.7059535337661229
stanfordnlp_sst2,token_shap_llm,tokens,error,73,0.3150684931506849,0.589041095890411,0.8758716901416554,0.2696672991891102
stanfordnlp_sst2,token_shap_llm,tokens,correct,799,0.10888610763454318,0.6545682102628285,0.9937164443889613,0.694494887384132
