dataset,method,graph,n,n_errors,auroc_confidence,auroc_confidence_plus_explanation,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_confidence,auprc_confidence_plus_explanation,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,graphsvx,constituency,7600,496,0.8429577668646469,0.8595015756684102,0.016543808803763382,0.005284574476804987,0.027561407733571054,0.3178256505918351,0.3423172899635773,0.024491639371742202,0.0006673382867889183,0.049353141598590576
setfit_ag_news,graphsvx,skipgrams,7600,478,0.848386577509256,0.8611443532269039,0.012757775717647912,0.003546803701011286,0.02252981391438536,0.3064499320303769,0.3140316822968323,0.0075817502664554115,-0.017193474001607683,0.03218289400402084
setfit_ag_news,graphsvx,syntactic,7600,484,0.8493632960758899,0.860845829907228,0.011482533831338126,0.0038668493882546397,0.01889033129065737,0.30866408139778556,0.30184888703891544,-0.006815194358870125,-0.030090092424851875,0.016323316409653812
setfit_ag_news,graphsvx,window,7600,478,0.8418368036339753,0.8604987022356325,0.018661898601657234,0.009220716857195438,0.02914732707002472,0.30118899169194746,0.2957776906250835,-0.005411301066863938,-0.023671870487338518,0.015196371136837857
setfit_ag_news,subgraphx,constituency,7600,496,0.8427962835567422,0.857259540286254,0.014463256729511764,0.001668585117314428,0.02656256406543222,0.3178197303654678,0.33533039151000865,0.017510661144540862,-0.006516350233832575,0.04217740277366716
setfit_ag_news,subgraphx,skipgrams,7600,478,0.848386577509256,0.8599295717553834,0.01154299424612748,0.002664978653718603,0.021610605803645537,0.3064499320303769,0.3172119200384283,0.010761988008051393,-0.011310832336972228,0.03464846611725242
setfit_ag_news,subgraphx,syntactic,7600,484,0.8493632960758899,0.8669174401534896,0.017554144077599698,0.009085933554794179,0.026165837847285895,0.30866408139778556,0.32850724287192334,0.019843161474137783,-0.004982410977035846,0.044432551006711854
setfit_ag_news,subgraphx,window,7600,478,0.8418368036339753,0.8568791792536299,0.015042375619654602,0.003286207031686711,0.02639093690675301,0.30118899169194746,0.3208798357176009,0.019690844025653464,-0.0025232245606897283,0.042814624290809955
setfit_ag_news,token_shap_llm,tokens,7600,471,0.8821617334656835,0.8785812203913385,-0.0035805130743450375,-0.009847904002168279,0.002077258814254473,0.33443685750385466,0.34964901449412394,0.015212156990269288,-0.010470755872534893,0.041189857318943805
stanfordnlp_sst2,graphsvx,constituency,872,78,0.829167474003746,0.8128269715171479,-0.01634050248659813,-0.04978063000437519,0.015855181023720216,0.2831927581558326,0.33534529699674215,0.052152538840909535,-0.033282169623656134,0.14129429945543406
stanfordnlp_sst2,graphsvx,skipgrams,872,78,0.8431424788477686,0.8369663501905316,-0.0061761286572370455,-0.030893192148918253,0.01492390115656665,0.28215632418110087,0.3009912555776016,0.01883493139650072,-0.04460764653827806,0.09355343692380755
stanfordnlp_sst2,graphsvx,syntactic,872,84,0.8355541455160745,0.8088288614938361,-0.026725284022238394,-0.05666828947422857,0.005342351981769512,0.3301692370141889,0.30696974223755796,-0.023199494776630913,-0.09306044992009416,0.04146842786934611
stanfordnlp_sst2,graphsvx,window,872,76,0.8058797275852949,0.7973089129859825,-0.008570814599312415,-0.041142190723047554,0.020061699711577938,0.25686532803029316,0.2267281362114234,-0.030137191818869757,-0.08268867226523484,0.024397266671902527
stanfordnlp_sst2,subgraphx,constituency,872,78,0.829167474003746,0.8029774591487439,-0.026190014855002164,-0.05258693978990949,-0.0003363962056109161,0.2831927581558326,0.3265943464558594,0.04340158830002677,-0.0353136575018217,0.1145898294113801
stanfordnlp_sst2,subgraphx,skipgrams,872,78,0.8431424788477686,0.8292159142285086,-0.013926564619260007,-0.038242498799150065,0.009461530120645245,0.28215632418110087,0.2693887734757319,-0.012767550705368946,-0.07264129342484392,0.04719638073712401
stanfordnlp_sst2,subgraphx,syntactic,872,84,0.8355541455160745,0.8300700991056321,-0.0054840464104424225,-0.0433887654313714,0.031005965138683842,0.3301692370141889,0.3687935610550112,0.03862432404082233,-0.03672594640064247,0.12273238532596374
stanfordnlp_sst2,subgraphx,window,872,76,0.8058797275852949,0.7954740809309706,-0.010405646654324308,-0.045394678292414344,0.029048790217080667,0.25686532803029316,0.2703053299346254,0.013440001904332255,-0.05882283929459106,0.09015784481098385
stanfordnlp_sst2,token_shap_llm,tokens,872,73,0.8252696006995045,0.8109451883347334,-0.01432441236477111,-0.046235199551985115,0.01924961980957428,0.287084810316695,0.23186306527629044,-0.055221745040404585,-0.13499342019290103,0.022732533643633573
