dataset,method,graph,target,regime,n,n_errors,auroc_base,auroc_overlap_only,auroc_full,delta_auroc,delta_auroc_ci_low,delta_auroc_ci_high,auprc_base,auprc_full,delta_auprc,delta_auprc_ci_low,delta_auprc_ci_high
setfit_ag_news,graphsvx,constituency,bert_correct,all,7600,471,0.8868036687564534,0.4929485707580562,0.8839103699818838,-0.002906718206914579,-0.005875298844270372,-0.00023411386167914775,0.3342144929388435,0.3327767880703059,-0.0019423918931050063,-0.009663072368511107,0.005303561628872474
setfit_ag_news,graphsvx,constituency,bert_correct,confidence>0.9,6506,144,0.8106061598379266,0.4976067754724231,0.7997375912536239,-0.011108486071612125,-0.021482468664551824,-0.0012296040073811582,0.09288454724528535,0.09179480361279121,-0.002595437338265989,-0.015710053834913768,0.01119283751513944
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,all,7600,496,0.8198453619950594,0.5010307686718978,0.7995055602477477,-0.020364171501072306,-0.038309663774141876,-0.0040785177269277014,0.2932199386756837,0.2817955539942707,-0.011599877993036098,-0.019120582423082833,-0.0051742950582694324
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,confidence>0.9,7109,302,0.7495697358679272,0.5140989943153571,0.7149369999912438,-0.03539907080453169,-0.06378136715465964,-0.005224887244854746,0.1630937260744397,0.1498516465522016,-0.013341582687170339,-0.022604568958784103,-0.004430907170141342
setfit_ag_news,graphsvx,constituency,gnn_correct_gold,all (base = confidence+explanation),7600,496,0.843129608943621,0.5010307686718978,0.843286267618425,0.00011150388670009515,-0.0022025111633886237,0.002251093093613371,0.3096212658002841,0.3091151876340986,-0.0006995370429374402,-0.0039002320829272354,0.0023533289154795503
setfit_ag_news,graphsvx,constituency,gnn_agrees_teacher,all,7600,141,0.9730184583524687,0.5332565067285082,0.9727798014488661,-0.0003393854360239903,-0.0048696211399935985,0.004236399588217198,0.335825134851386,0.34084147966421097,0.005067771061276931,-0.019183432239906144,0.028287298914546455
setfit_ag_news,graphsvx,constituency,gnn_agrees_teacher,all (base = confidence+explanation),7600,141,0.9757016845754427,0.5332565067285082,0.9734720015517453,-0.002238138036729522,-0.005833404183022714,0.00019585170894705073,0.35838564909916243,0.35740066984216085,-0.0008258173872343836,-0.013615670068820012,0.010952970580089363
setfit_ag_news,graphsvx,syntactic,bert_correct,all,7600,471,0.8868036687564534,0.49740020055042666,0.8861946315980391,-0.0005732972818385394,-0.0031291638333588085,0.0013170758562200283,0.3342144929388435,0.3351099419236791,0.0004838517700128619,-0.005460553329024319,0.006173759934953197
setfit_ag_news,graphsvx,syntactic,bert_correct,confidence>0.9,6506,144,0.8106061598379266,0.5127438523874392,0.8076174944985854,-0.0028337998160468283,-0.010799856807350383,0.003707653680041591,0.09288454724528535,0.09837031171409351,0.0032946828405613633,-0.009654049740896533,0.01643688892870052
setfit_ag_news,graphsvx,syntactic,gnn_correct_gold,all,7600,484,0.8321135817782299,0.4678094179569728,0.8083419276313649,-0.02388457393781324,-0.0401335690158081,-0.007772536478461879,0.2997272561254018,0.2894099377453142,-0.0103056657303568,-0.017981732454937248,-0.003242049153294545
setfit_ag_news,graphsvx,syntactic,gnn_correct_gold,confidence>0.9,7047,272,0.7570658780117212,0.47042516822227043,0.7124457347514652,-0.045270628971261245,-0.07661889419741323,-0.016939663228115867,0.1521230122815583,0.13700203099422242,-0.015252947752600644,-0.024333486083081852,-0.006153474216433534
setfit_ag_news,graphsvx,syntactic,gnn_correct_gold,all (base = confidence+explanation),7600,484,0.8527901272420665,0.4678094179569728,0.8514638180052866,-0.0013193039735990852,-0.0037908417658808176,0.0005706530326862237,0.2974241654822325,0.29705304009831063,-0.0008248966411846843,-0.0052196009579346,0.0030121546122220634
setfit_ag_news,graphsvx,syntactic,gnn_agrees_teacher,all,7600,141,0.9696810649993012,0.43413782578806703,0.965239764613932,-0.0043667637603096365,-0.01595333079179429,0.0021000558922435334,0.3158488241213153,0.2972991866351566,-0.016394751209975154,-0.039947765573817,0.006816075858723403
setfit_ag_news,graphsvx,syntactic,gnn_agrees_teacher,all (base = confidence+explanation),7600,141,0.9668713791421472,0.43413782578806703,0.9667439686836502,2.7209773561358564e-06,-0.006522636173421645,0.008386642868642725,0.3912906460995429,0.36663655537648143,-0.02414835011307493,-0.04675133802897913,-0.0026034922311752463
setfit_ag_news,graphsvx,window,bert_correct,all,7600,471,0.8868036687564534,0.4958609298642339,0.8841894251493333,-0.0026183356548211134,-0.005428951071529789,-0.00044128294309067075,0.3342144929388435,0.3335740402575976,-0.0007460632933100823,-0.006165927466243677,0.00424794896088625
setfit_ag_news,graphsvx,window,bert_correct,confidence>0.9,6506,144,0.8106061598379266,0.4908484403926089,0.8006348457857417,-0.010117245483012311,-0.020379765523763776,-0.001630752272007837,0.09288454724528535,0.08740912356160899,-0.005830469382502745,-0.019571716816315792,0.005463547052390439
setfit_ag_news,graphsvx,window,gnn_correct_gold,all,7600,478,0.8290041230015076,0.505643718150724,0.789372079442684,-0.0397960365027776,-0.05720763727147639,-0.022173583445195277,0.29563769780303667,0.28197062500039305,-0.013653932922406216,-0.019191900501512014,-0.008031859394551028
setfit_ag_news,graphsvx,window,gnn_correct_gold,confidence>0.9,7141,293,0.7637336129629039,0.49047976938534654,0.6962656693566394,-0.06789552489075877,-0.0988066496403102,-0.040395062112179046,0.1561645932202444,0.13407524220812844,-0.022018366025890277,-0.03005165863002319,-0.015071092142118457
setfit_ag_news,graphsvx,window,gnn_correct_gold,all (base = confidence+explanation),7600,478,0.8491309267412308,0.505643718150724,0.8470894006314337,-0.002001236293342567,-0.0039020297878732428,-0.0002093500236415028,0.32491450382479353,0.32417525832372185,-0.0005533227816555895,-0.004975576307445853,0.004081381155168576
