dataset,method,graph,target,n,n_errors,error_rate,teacher_gold_alignment,dimension,js_divergence_bits,cramers_v,chi2,chi2_p_value,legacy_weighted_sd,legacy_separability,n_correct,n_incorrect,pct_correct_by_quadrant,quadrant_share_pct
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,Dimension 3 (consistency),0.2671429627466184,0.3969372526349899,1197.449787223545,2.6212803564342016e-259,5.356216549859714,7.574834087818835,7459,141,"{""Sufficient-Necessary"": 76.88, ""Sufficient-Redundant"": 99.1, ""Insufficient-Necessary"": 56.79, ""Insufficient-Redundant"": 95.24}","{""Sufficient-Necessary"": 2.11, ""Sufficient-Redundant"": 96.0, ""Insufficient-Necessary"": 1.07, ""Insufficient-Redundant"": 0.83}"
setfit_ag_news,graphsvx,constituency,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,Dimension 4 (fidelity),0.005252429559849581,0.029821513550820283,6.758852295509358,0.07999435798388745,0.40240739150188043,0.5690899906611391,7459,141,"{""Faithful"": 93.18, ""Redundant"": 98.16, ""Incomplete"": 100.0, ""Unfaithful"": 99.17}","{""Faithful"": 0.58, ""Redundant"": 97.76, ""Incomplete"": 0.08, ""Unfaithful"": 1.58}"
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,Dimension 3 (consistency),0.08675291650640991,0.28629339394107356,622.9256963486704,1.079586434079569e-134,7.071149989811517,10.000116217165822,7104,496,"{""Sufficient-Necessary"": 59.38, ""Sufficient-Redundant"": 94.89, ""Insufficient-Necessary"": 50.62, ""Insufficient-Redundant"": 71.43}","{""Sufficient-Necessary"": 2.11, ""Sufficient-Redundant"": 96.0, ""Insufficient-Necessary"": 1.07, ""Insufficient-Redundant"": 0.83}"
setfit_ag_news,graphsvx,constituency,gold_label,7600,496,0.0652631578947368,0.9380263157894737,Dimension 4 (fidelity),0.02336079866653586,0.13319089491928493,134.82259011944,4.9391710448713477e-29,3.2896770068167815,4.652305838867221,7104,496,"{""Faithful"": 70.45, ""Redundant"": 93.97, ""Incomplete"": 66.67, ""Unfaithful"": 72.5}","{""Faithful"": 0.58, ""Redundant"": 97.76, ""Incomplete"": 0.08, ""Unfaithful"": 1.58}"
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,Dimension 3 (consistency),0.14321979670083135,0.3823718394562263,1111.1824994294498,1.364611813822217e-240,5.213225413911597,7.3726140840618735,7456,144,"{""Sufficient-Necessary"": 52.83, ""Sufficient-Redundant"": 98.63, ""Insufficient-Necessary"": 57.14, ""Insufficient-Redundant"": 31.58}","{""Sufficient-Necessary"": 0.7, ""Sufficient-Redundant"": 98.96, ""Insufficient-Necessary"": 0.09, ""Insufficient-Redundant"": 0.25}"
setfit_ag_news,graphsvx,skipgrams,teacher_agreement,7600,144,0.0189473684210526,0.9380263157894737,Dimension 4 (fidelity),0.002922680028033985,0.024039925232464624,4.392176839386918,0.03610418803557404,0.3277583133440089,0.463520251911628,7456,144,"{""Faithful"": 0.0, ""Redundant"": 98.13, ""Incomplete"": 0.0, ""Unfaithful"": 94.12}","{""Faithful"": 0.0, ""Redundant"": 99.33, ""Incomplete"": 0.0, ""Unfaithful"": 0.67}"
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,Dimension 3 (consistency),0.022644201240730792,0.15080406673010865,172.83818572177688,3.103959325190558e-37,3.6611236255437776,5.177610684768568,7122,478,"{""Sufficient-Necessary"": 56.6, ""Sufficient-Redundant"": 94.08, ""Insufficient-Necessary"": 71.43, ""Insufficient-Redundant"": 57.89}","{""Sufficient-Necessary"": 0.7, ""Sufficient-Redundant"": 98.96, ""Insufficient-Necessary"": 0.09, ""Insufficient-Redundant"": 0.25}"
setfit_ag_news,graphsvx,skipgrams,gold_label,7600,478,0.06289473684210523,0.9380263157894737,Dimension 4 (fidelity),0.007762231451550788,0.07828343929921441,46.575056200704786,8.81755414889246e-12,1.9005147229889268,2.687733696740686,7122,478,"{""Faithful"": 0.0, ""Redundant"": 93.87, ""Incomplete"": 0.0, ""Unfaithful"": 70.59}","{""Faithful"": 0.0, ""Redundant"": 99.33, ""Incomplete"": 0.0, ""Unfaithful"": 0.67}"
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,Dimension 3 (consistency),0.22851078555734708,0.42385958692801307,1365.3928156739726,9.519274570413299e-296,5.71950281625041,8.088598452772443,7459,141,"{""Sufficient-Necessary"": 62.84, ""Sufficient-Redundant"": 98.94, ""Insufficient-Necessary"": 20.0, ""Insufficient-Redundant"": 0.0}","{""Sufficient-Necessary"": 1.95, ""Sufficient-Redundant"": 97.95, ""Insufficient-Necessary"": 0.07, ""Insufficient-Redundant"": 0.04}"
setfit_ag_news,graphsvx,syntactic,teacher_agreement,7600,141,0.018552631578947376,0.9380263157894737,Dimension 4 (fidelity),0.0007261585510914514,0.010059148550513432,0.7690171686658532,0.38052127087834464,0.13573676339545473,0.19196077170648,7459,141,"{""Faithful"": 96.61, ""Redundant"": 98.16, ""Incomplete"": 0.0, ""Unfaithful"": 0.0}","{""Faithful"": 0.78, ""Redundant"": 99.22, ""Incomplete"": 0.0, ""Unfaithful"": 0.0}"
